127.0.0.1 - - [11/Sep/2021:14:11:24 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/page.js HTTP/1.1" 404 1128
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/pageView.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/assetRegister.js HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/route.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/attendanceSheet.js HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/service/user.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/service/permission.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/userMaster.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/userRegistration.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/welcome.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Sep/2021:14:13:01 +0530] "GET /ORSProject4/ctl/ang/controller/login.js HTTP/1.1" 404 1129
